{'timestamp': '2025-12-01T03:43:18.093694', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '17.8.131.101', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T03:43:31.806445', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '192.168.0.106', 'destination_ip': None, 'description': 'High connection rate: 542/min', 'details': {'connections_per_minute': 542, 'threshold': 50}}
{'timestamp': '2025-12-01T03:43:41.350320', 'alert_type': 'PORT_SCAN', 'threat_level': 'high', 'source_ip': '208.95.112.1', 'destination_ip': '192.168.0.106', 'description': 'Possible port scan detected: 20 unique ports', 'details': {'ports_scanned': 20, 'sample_ports': [50249, 50250, 50251, 50252, 50254, 50255, 50256, 50257, 50258, 50259]}}
{'timestamp': '2025-12-01T03:43:51.234771', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '140.82.114.22', 'destination_ip': None, 'description': 'High connection rate: 126/min', 'details': {'connections_per_minute': 126, 'threshold': 50}}
{'timestamp': '2025-12-01T03:44:05.914388', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '140.82.112.21', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T03:44:38.888411', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '192.168.0.106', 'destination_ip': None, 'description': 'High connection rate: 531/min', 'details': {'connections_per_minute': 531, 'threshold': 50}}
{'timestamp': '2025-12-01T03:46:55.845711', 'alert_type': 'PORT_SCAN', 'threat_level': 'high', 'source_ip': '8.8.8.8', 'destination_ip': '192.168.0.106', 'description': 'Possible port scan detected: 20 unique ports', 'details': {'ports_scanned': 20, 'sample_ports': [56338, 55319, 61983, 49576, 59308, 46895, 35636, 52286, 53057, 52545]}}
{'timestamp': '2025-12-01T03:46:55.853729', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '192.168.0.106', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T03:47:22.546467', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '140.82.112.21', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T03:47:34.345187', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '13.107.246.58', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
